# Directed graph (each unordered pair of nodes is saved once): Amazon0601.txt 
# Amazon product co-purchaisng network from June 01 2003
# Nodes: 403394 Edges: 3387388
# FromNodeId	ToNodeId
1234	1
1234	2
1234	3
1234	4
1234	5
1234	6
1234	7
1234	8
1234	9
1234	10
1	1234
1	2
1	3
1	4
1	155
1	185
1	233
1	234
1	235
1	3943
2	1234
2	1
2	3
2	4
2	6
2	10
2	47
2	54
2	118
2	355
3	1234
3	1
3	2
3	4
3	5
3	34
3	44
3	235
3	4954
3	4955
4	5
4	6
4	9
4	36
4	44
4	48
4	58
4	106
4	1032
4	1033
5	6
5	44
5	46
5	47
5	48
5	49
5	50
5	51
5	52
5	53
6	5
6	9
6	46
6	47
6	48
6	54
6	55
6	56
6	57
6	58
7	5
7	6
7	9
7	46
7	47
7	54
7	58
7	108
7	1521
7	1522
8	4
8	5
8	36
8	44
8	51
8	59
8	60
8	61
8	62
8	63
9	4
9	5
9	6
9	47
9	48
9	54
9	57
9	58
9	1521
9	15328
10	5
10	6
10	46
10	48
10	54
10	62
10	108
10	355
10	1034
10	1035
11	12
11	13
11	14
11	15
11	16
11	17
11	18
11	19
11	20
11	21
12	14
12	19
12	20
12	21
12	24
12	26
12	27
12	30
12	31
12	209
13	12
13	19
13	22
13	23
13	25
13	31
13	64
13	65
13	66
13	67
14	12
14	19
14	20
14	21
14	31
14	74
14	75
14	76
14	134
14	1107
15	11
15	12
15	69
15	105
15	401
15	443
15	1590
16	11
16	12
16	14
16	69
16	74
16	78
16	266
16	451
16	1148
16	2440
17	11
17	215
17	406
17	451
17	1714
17	2482
17	2483
17	2484
17	2485
17	2486
18	12
18	21
18	353
18	420
18	421
18	467
18	565
18	569
18	5024
18	10557
19	12
19	14
19	20
19	21
19	24
19	26
19	27
19	31
19	75
19	133
20	12
20	27
20	30
20	70
20	209
20	347
20	400
20	401
20	1217
20	2877
21	12
21	14
21	19
21	20
21	27
21	31
21	73
21	2487
21	2488
21	2489
22	13
22	23
22	24
22	25
22	26
22	27
22	28
22	29
22	30
22	31
23	12
23	13
23	22
23	24
23	25
23	27
23	28
23	29
23	66
23	1915
24	12
24	20
24	27
24	29
24	68
24	69
24	70
24	71
24	72
24	73
25	12
25	13
25	22
25	23
25	24
25	28
25	29
25	66
25	133
25	1915
26	12
26	19
26	20
26	27
26	31
26	74
26	75
26	76
26	77
26	78
27	12
27	20
27	24
27	29
27	30
27	69
27	70
27	73
27	209
27	1063
28	12
28	13
28	22
28	23
28	24
28	25
28	66
28	68
28	141
28	1915
29	12
29	24
29	27
29	30
29	69
29	70
29	126
29	324
29	326
29	329
30	12
30	20
30	27
30	64
30	209
30	347
30	353
30	373
30	400
30	419
31	12
31	14
31	19
31	24
31	26
31	27
31	67
31	133
31	134
31	4956
32	4
32	33
32	34
32	35
32	36
32	37
32	38
32	39
32	40
32	41
33	32
33	34
33	37
33	106
33	109
34	35
34	36
34	44
34	82
34	84
34	85
34	89
34	105
34	106
34	1074
35	34
35	36
35	38
35	79
35	80
35	84
35	85
35	89
35	158
35	1916
36	34
36	44
36	51
36	89
36	90
36	105
36	106
36	155
36	1049
36	2490
37	4
37	32
37	33
37	34
37	36
37	44
37	55
37	381
37	1030
37	1031
38	34
38	35
38	41
38	79
38	80
38	81
38	82
38	83
38	84
38	85
39	34
39	35
39	36
39	38
39	79
39	1078
39	1130
39	10391
39	12454
39	12455
40	86
40	87
40	88
40	89
40	90
40	91
40	92
40	93
40	94
40	95
41	82
41	96
41	98
41	103
41	104
41	149
41	151
41	152
41	170
41	1085
42	36
42	43
42	44
42	45
43	41
43	96
43	97
43	98
43	99
43	100
43	101
43	102
43	103
43	104
44	34
44	36
44	50
44	51
44	55
44	105
44	106
44	107
44	108
44	109
45	1036
45	1037
45	1038
45	1039
45	1040
45	1041
45	1042
45	1043
45	1044
45	1045
46	5
46	6
46	47
46	48
46	51
46	62
46	108
46	110
46	111
46	112
47	5
47	6
47	9
47	46
47	48
47	53
47	54
47	56
47	185
47	187
48	5
48	44
48	49
48	106
48	108
48	115
48	118
48	185
48	189
48	308
49	50
49	52
49	105
49	115
49	175
49	352
49	749
49	1210
49	1632
49	3957
50	49
50	52
50	105
50	174
50	175
50	1632
50	1741
50	1934
50	2491
50	2492
